#########################################
#     NEBULAR output spectrum
#########################################
#
# Electron temperature [K]      : 10000
# Electron density [cm-3]       : 100
# Helium abundance              : 0.1
# Ionisation fraction (H+)      : 1
# Ionisation fraction (He+)     : 1
# Ionisation fraction (He++)    : 9.25655e-09
# H+ density [cm-3]             : 90
# He+ density [cm-3]            : 10
# He++ density [cm-3]           : 9.25655e-08
# Total nuclear density [cm-3]  : 100
# Total matter density [g cm-3] : 2.17083e-22
#
# Col 1:  Frequency [Hz]
# Col 2:  Wavelength [A]
# Col 3:  Total spectrum: f_lambda (erg s-1 cm-2 A-1)
# Col 4:  j_fb (free-bound HI)
# Col 5:  j_fb (free-bound HeI)
# Col 6:  j_fb (free-bound HeII)
# Col 7:  j_2q (two-photon HI)
# Col 8:  j_2q (two-photon HeI)
# Col 9:  j_2q (two-photon HeII)
# Col 10:  j_ff (free-free HII)
# Col 11: j_ff (free-free HeII)
# Col 12: j_ff (free-free HeIII)
# Col 13: j_nn' (HI   recombination lines)
# Col 14: j_nn' (HeI  recombination lines)
# Col 15: j_nn' (HeII recombination lines)
#
# nu lambda f_lambda fb_HI fb_HeI fb_HeII 2q_HI 2q_HeI 2q_HeII ff_HII ff_HeII ff_HeIII eml_HI eml_HeI eml_HeII
4.82758e+15 621 8.32583e-22 0 6.30276e-22 1.4405e-24 0 0 1.96781e-22 3.67679e-24 4.08533e-25 1.49558e-32 0 0 0
4.81981e+15 622 8.52744e-22 0 6.512e-22 1.49e-24 0 0 1.95828e-22 3.80419e-24 4.22688e-25 1.54733e-32 0 0 0
4.81208e+15 623 8.73537e-22 0 6.72743e-22 1.54104e-24 0 0 1.9488e-22 3.93556e-24 4.37284e-25 1.60068e-32 0 0 0
4.80437e+15 624 8.94977e-22 0 6.94922e-22 1.59363e-24 0 0 1.93938e-22 4.07099e-24 4.52332e-25 1.65569e-32 0 0 0
4.79668e+15 625 9.17063e-22 0 7.17736e-22 1.64784e-24 0 0 1.93002e-22 4.21061e-24 4.67845e-25 1.71239e-32 0 0 0
4.78902e+15 626 9.39826e-22 0 7.41213e-22 1.70371e-24 0 0 1.92071e-22 4.35452e-24 4.83836e-25 1.77083e-32 0 0 0
4.78138e+15 627 9.63284e-22 0 7.65374e-22 1.76127e-24 0 0 1.91146e-22 4.50285e-24 5.00317e-25 1.83107e-32 0 0 0
4.77377e+15 628 9.87456e-22 0 7.90237e-22 1.82057e-24 0 0 1.90226e-22 4.65571e-24 5.17301e-25 1.89314e-32 0 0 0
4.76618e+15 629 1.01236e-21 0 8.15818e-22 1.88166e-24 0 0 1.89312e-22 4.81322e-24 5.34803e-25 1.9571e-32 0 0 0
4.75861e+15 630 1.03801e-21 0 8.42137e-22 1.94459e-24 0 0 1.88403e-22 4.97551e-24 5.52835e-25 2.02299e-32 0 0 0
4.75107e+15 631 1.06443e-21 0 8.69211e-22 2.0094e-24 0 0 1.875e-22 5.14271e-24 5.71412e-25 2.09088e-32 0 0 0
4.74355e+15 632 1.09164e-21 0 8.9706e-22 2.07614e-24 0 0 1.86602e-22 5.31494e-24 5.90549e-25 2.1608e-32 0 0 0
4.73606e+15 633 1.11966e-21 0 9.25702e-22 2.14488e-24 0 0 1.85709e-22 5.49235e-24 6.10261e-25 2.23282e-32 0 0 0
4.72859e+15 634 1.1485e-21 0 9.55157e-22 2.21564e-24 0 0 1.84822e-22 5.67505e-24 6.30561e-25 2.30699e-32 0 0 0
4.72114e+15 635 1.17819e-21 0 9.85446e-22 2.2885e-24 0 0 1.8394e-22 5.8632e-24 6.51467e-25 2.38337e-32 0 0 0
4.71372e+15 636 1.20875e-21 0 1.01659e-21 2.3635e-24 0 0 1.83063e-22 6.05694e-24 6.72993e-25 2.46201e-32 0 0 0
4.70632e+15 637 7.97486e-19 0 1.04861e-21 2.4407e-24 0 7.96246e-19 1.82192e-22 6.25641e-24 6.95156e-25 2.54298e-32 0 0 0
4.69894e+15 638 6.23565e-18 0 1.08152e-21 2.52015e-24 0 6.23438e-18 1.81325e-22 6.46176e-24 7.17973e-25 2.62632e-32 0 0 0
4.69159e+15 639 1.15666e-17 0 1.11535e-21 2.60192e-24 0 1.15653e-17 1.80464e-22 6.67314e-24 7.4146e-25 2.71212e-32 0 0 0
4.68426e+15 640 1.67922e-17 0 1.15012e-21 2.68606e-24 0 1.67908e-17 1.79608e-22 6.89071e-24 7.65634e-25 2.80041e-32 0 0 0
4.67695e+15 641 2.19143e-17 0 1.18585e-21 2.77263e-24 0 2.19129e-17 1.78757e-22 7.11462e-24 7.90514e-25 2.89129e-32 0 0 0
4.66966e+15 642 2.69349e-17 0 1.22257e-21 2.86169e-24 0 2.69335e-17 1.77911e-22 7.34505e-24 8.16117e-25 2.98479e-32 0 0 0
4.6624e+15 643 3.18557e-17 0 1.2603e-21 2.95331e-24 0 3.18542e-17 1.7707e-22 7.58215e-24 8.42461e-25 3.08101e-32 0 0 0
4.65516e+15 644 3.66785e-17 0 1.29906e-21 3.04755e-24 0 3.6677e-17 1.76234e-22 7.82609e-24 8.69566e-25 3.17999e-32 0 0 0
4.64795e+15 645 4.14051e-17 0 1.33888e-21 3.14448e-24 0 4.14036e-17 1.75403e-22 8.07705e-24 8.9745e-25 3.28182e-32 0 0 0
